Date,Value
2015-01-04,3.6405
2015-01-05,3.6406
2015-01-06,3.6456
2015-01-07,3.6505
2015-01-08,3.6457
2015-01-09,3.6556
2015-01-12,3.6607
2015-01-13,3.6311
2015-01-14,3.572
2015-01-15,3.5473
2015-01-16,3.4932
2015-01-19,3.4935
2015-01-20,3.4935
2015-01-21,3.4977
2015-01-22,3.4829
2015-01-23,3.4904
2015-01-26,3.4832
2015-01-27,3.4632
2015-01-28,3.4977
2015-01-29,3.5103
2015-01-30,3.5374
2015-02-02,3.4675
2015-02-03,3.455
2015-02-04,3.455
2015-02-05,3.3988
2015-02-06,3.429
2015-02-09,3.415
2015-02-10,3.4225
2015-02-11,3.3988
2015-02-12,3.3725
2015-02-13,3.365
2015-02-15,3.3325
2015-02-16,3.335
2015-02-17,3.325
2015-02-25,3.3276
2015-02-26,3.365
2015-02-27,3.37
2015-02-28,3.3775
2015-03-02,3.3988
2015-03-03,3.4285
2015-03-04,3.4332
2015-03-05,3.4729
2015-03-06,3.4846
2015-03-09,3.5215
2015-03-10,3.502
2015-03-11,3.4679
2015-03-12,3.4412
2015-03-13,3.4632
2015-03-16,3.5049
2015-03-17,3.5269
2015-03-18,3.5123
2015-03-19,3.5514
2015-03-20,3.5198
2015-03-23,3.5078
2015-03-24,3.4957
2015-03-25,3.5141
2015-03-26,3.5606
2015-03-27,3.5788
2015-03-30,3.6021
2015-03-31,3.6216
2015-04-01,3.6073
2015-04-02,3.5744
2015-04-03,3.5732
2015-04-07,3.588
2015-04-08,3.6124
2015-04-09,3.6916
2015-04-10,3.6965
2015-04-13,3.6894
2015-04-14,3.619
2015-04-15,3.6045
2015-04-16,3.6216
2015-04-17,3.6047
2015-04-20,3.5151
2015-04-21,3.4457
2015-04-22,3.4667
2015-04-23,3.4935
2015-04-24,3.5275
2015-04-27,3.4817
2015-04-28,3.4842
2015-04-29,3.4843
2015-04-30,3.4577
2015-05-04,3.375
2015-05-05,3.3976
2015-05-06,3.4315
2015-05-07,3.4227
2015-05-08,3.3829
2015-05-11,3.3932
2015-05-12,3.3734
2015-05-13,3.3984
2015-05-14,3.3686
2015-05-15,3.3612
2015-05-18,3.3939
2015-05-19,3.4337
2015-05-20,3.4338
2015-05-21,3.4364
2015-05-22,3.439
2015-05-25,3.4542
2015-05-26,3.4741
2015-05-27,3.5202
2015-05-28,3.5241
2015-05-29,3.5739
2015-06-01,3.6436
2015-06-02,3.599
2015-06-03,3.614
2015-06-04,3.5843
2015-06-05,3.5893
2015-06-08,3.5647
2015-06-09,3.5673
2015-06-10,3.5946
2015-06-11,3.6096
2015-06-12,3.622
2015-06-15,3.6445
2015-06-16,3.6253
2015-06-17,3.6194
2015-06-18,3.5804
2015-06-19,3.5909
2015-06-23,3.6095
2015-06-24,3.6204
2015-06-25,3.5933
2015-06-26,3.6057
2015-06-29,3.6158
2015-06-30,3.5961
2015-07-01,3.5975
2015-07-02,3.6213
2015-07-03,3.57
2015-07-06,3.5375
2015-07-07,3.44
2015-07-08,3.375
2015-07-09,3.4375
2015-07-10,3.49
2015-07-13,3.48
2015-07-14,3.54
2015-07-15,3.565
2015-07-16,3.5325
2015-07-17,3.5125
2015-07-20,3.515
2015-07-21,3.52
2015-07-22,3.5175
2015-07-23,3.495
2015-07-24,3.465
2015-07-27,3.4844
2015-07-28,3.455
2015-07-29,3.4475
2015-07-30,3.4375
2015-07-31,3.47
2015-08-03,3.49
2015-08-04,3.48
2015-08-05,3.49
2015-08-06,3.49
2015-08-07,3.46
2015-08-10,3.4775
2015-08-11,3.535
2015-08-12,3.555
2015-08-13,3.5313
2015-08-14,3.5125
2015-08-17,3.5375
2015-08-18,3.535
2015-08-19,3.53
2015-08-20,3.525
2015-08-21,3.5125
2015-08-24,3.4975
2015-08-25,3.475
2015-08-26,3.44
2015-08-27,3.42
2015-08-28,3.3775
2015-08-31,3.34
2015-09-01,3.3178
2015-09-02,3.315
2015-09-06,3.315
2015-09-07,3.3288
2015-09-08,3.3675
2015-09-09,3.3425
2015-09-10,3.3575
2015-09-11,3.3475
2015-09-14,3.3425
2015-09-15,3.3225
2015-09-16,3.3175
2015-09-17,3.325
2015-09-18,3.325
2015-09-21,3.305
2015-09-22,3.315
2015-09-23,3.315
2015-09-24,3.32
2015-09-25,3.325
2015-09-28,3.3
2015-09-29,3.265
2015-09-30,3.255
2015-10-08,3.24
2015-10-09,3.1688
2015-10-10,3.1625
2015-10-12,3.1575
2015-10-13,3.145
2015-10-14,3.0126
2015-10-15,3.0775
2015-10-16,3.1225
2015-10-19,3.125
2015-10-20,3.0755
2015-10-21,3.0525
2015-10-22,3.0425
2015-10-23,3.04
2015-10-26,3.025
2015-10-27,2.99
2015-10-28,2.965
2015-10-29,3.035
2015-10-30,3.0625
2015-11-02,3.0588
2015-11-03,3.065
2015-11-04,3.1075
2015-11-05,3.135
2015-11-06,3.1025
2015-11-09,3.186
2015-11-10,3.215
2015-11-11,3.145
2015-11-12,3.1325
2015-11-13,3.129
2015-11-16,3.135
2015-11-17,3.129
2015-11-18,3.135
2015-11-19,3.15
2015-11-20,3.13
2015-11-23,3.125
2015-11-24,3.1175
2015-11-25,3.085
2015-11-26,3.0625
2015-11-27,3.0625
2015-11-30,3.03
2015-12-01,3.0569
2015-12-02,3.0406
2015-12-03,3.038
2015-12-04,3.0234
2015-12-07,3.0344
2015-12-08,3.0322
2015-12-09,3.0076
2015-12-10,2.9917
2015-12-11,2.9852
2015-12-14,3.0183
2015-12-15,3.0271
2015-12-16,3.022
2015-12-17,2.9948
2015-12-18,2.9568
2015-12-21,2.8979
2015-12-22,2.8604
2015-12-23,2.8642
2015-12-24,2.8143
2015-12-25,2.8281
2015-12-28,2.8117
2015-12-29,2.814
2015-12-30,2.8359
2015-12-31,2.8366
2016-01-04,2.8699
2016-01-05,2.904
2016-01-06,2.9111
2016-01-07,2.8791
2016-01-08,2.8609
2016-01-11,2.8455
2016-01-12,2.8181
2016-01-13,2.7867
2016-01-14,2.7686
2016-01-15,2.7876
2016-01-18,2.8072
2016-01-19,2.8191
2016-01-20,2.8591
2016-01-21,2.836
2016-01-22,2.8042
2016-01-25,2.8879
2016-01-26,2.8928
2016-01-27,2.916
2016-01-28,2.9209
2016-01-29,2.8846
2016-02-01,2.825
2016-02-02,2.8725
2016-02-03,2.905
2016-02-04,2.8775
2016-02-05,2.8525
2016-02-06,2.8688
2016-02-14,2.815
2016-02-15,2.84
2016-02-16,2.85
2016-02-17,2.87
2016-02-18,2.8588
2016-02-19,2.8553
2016-02-22,2.875
2016-02-23,2.8763
2016-02-24,2.8875
2016-02-25,2.89
2016-02-26,2.8975
2016-02-29,2.88
2016-03-01,2.8875
2016-03-02,2.885
2016-03-03,2.895
2016-03-04,2.9
2016-03-07,2.93
2016-03-08,2.94
2016-03-09,2.9325
2016-03-10,2.9
2016-03-11,2.87
2016-03-14,2.865
2016-03-15,2.8825
2016-03-16,2.865
2016-03-17,2.845
2016-03-18,2.865
2016-03-21,2.8525
2016-03-22,2.88
2016-03-23,2.8588
2016-03-24,2.8625
2016-03-25,2.8725
2016-03-28,2.9
2016-03-29,2.89
2016-03-30,2.8675
2016-03-31,2.8625
